English,Chinese,French,German,Italian,Spanish,Total Languages,Collection
Yes,Yes,Yes,Yes,Yes,No,9,"['English', 'Chinese', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Portuguese', 'Portuguese - Brazil']"
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,No,Yes,8,"['English', 'Chinese', 'French', 'German', 'Spanish', 'Japanese', 'Korean', 'Russian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,Yes,Yes,10,"['English', 'French', 'German', 'Italian', 'Spanish', 'Russian', 'Polish', 'Turkish', 'Czech', 'Portuguese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,Yes,Yes,6,"['English', 'French', 'German', 'Italian', 'Spanish', 'Russian']"
Yes,No,Yes,No,No,Yes,3,"['English', 'French', 'Spanish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,2,"['English', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,No,Yes,8,"['English', 'French', 'German', 'Spanish', 'Polish', 'Portuguese', 'Russian', 'Turkish']"
Yes,No,Yes,Yes,No,No,3,"['English', 'French', 'German']"
Yes,Yes,Yes,Yes,Yes,Yes,27,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Polish', 'Portuguese', 'Turkish', 'Russian', 'Korean', 'Danish', 'Finnish', 'Greek', 'Hungarian', 'Portuguese - Brazil', 'Romanian', 'Japanese', 'Ukrainian', 'Arabic', 'Czech', 'Norwegian', 'Thai', 'Bulgarian', 'Dutch', 'Swedish', 'Vietnamese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,13,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Czech', 'Korean', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish']"
Yes,No,Yes,No,No,No,3,"['English', 'French', 'Arabic']"
Yes,No,Yes,Yes,Yes,Yes,6,"['English', 'French', 'German', 'Italian', 'Spanish', 'Portuguese']"
Yes,No,No,No,No,No,3,"['English', 'Russian', 'Ukrainian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,No,No,No,No,2,"['English', 'Chinese']"
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,26,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Portuguese', 'Portuguese - Brazil', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese']"
Yes,No,No,No,No,No,2,"['English', 'Russian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,10,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Japanese', 'Korean', 'Portuguese', 'Portuguese - Brazil']"
Yes,Yes,Yes,Yes,Yes,Yes,13,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Russian', 'Polish', 'Dutch', 'Finnish', 'Swedish', 'Czech', 'Portuguese - Brazil']"
Yes,Yes,Yes,Yes,Yes,Yes,10,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Korean', 'Portuguese', 'Russian', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,2,"['English', 'Polish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,No,Yes,10,"['English', 'Chinese', 'French', 'German', 'Spanish', 'Portuguese - Brazil', 'Polish', 'Russian', 'Portuguese', 'Korean']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,2,"['English', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,23,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,2,"['English', 'Russian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,Yes,3,"['English', 'Spanish', 'Russian']"
Yes,No,Yes,Yes,No,No,4,"['English', 'French', 'German', 'Turkish']"
