genre1,genre2,genre3,genre4,genre5,genre6,genre7
Casual,Free to Play,Indie,,,,
Free to Play,Indie,,,,,
Action,Adventure,Indie,,,,
Casual,Free to Play,,,,,
Adventure,Indie,RPG,Strategy,,,
Indie,Early Access,,,,,
Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy,
Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy,
Adventure,Indie,,,,,
Adventure,Free to Play,Indie,,,,
Action,Adventure,Indie,RPG,,,
Action,Free to Play,,,,,
Free to Play,Simulation,,,,,
Adventure,Indie,RPG,Strategy,,,
Free to Play,Indie,Massively Multiplayer,Sports,,,
Action,Free to Play,,,,,
Action,,,,,,
Free to Play,Massively Multiplayer,Simulation,Sports,Strategy,Early Access,
Action,Adventure,,,,,
Action,Casual,Free to Play,,,,
RPG,,,,,,
Action,Indie,,,,,
Action,Casual,Indie,,,,
Adventure,Free to Play,Indie,,,,
Adventure,Free to Play,Indie,,,,
Adventure,,,,,,
Action,Indie,,,,,
Action,Early Access,,,,,
Action,Casual,Free to Play,Indie,Simulation,,
Action,Indie,,,,,
Action,,,,,,
Action,Indie,,,,,
Adventure,Free to Play,Simulation,,,,
Action,Massively Multiplayer,Early Access,,,,
Action,Massively Multiplayer,,,,,
Action,Casual,Free to Play,RPG,,,
Action,Indie,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Indie,RPG,Early Access,,,,
Strategy,,,,,,
Adventure,Free to Play,Indie,,,,
Action,Adventure,Free to Play,Indie,,,
Adventure,Casual,Indie,RPG,Early Access,,
Indie,Simulation,Sports,,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Casual,Indie,Early Access,,,
Action,Casual,Free to Play,Indie,,,
Indie,,,,,,
Action,,,,,,
Action,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Simulation
Action,Free to Play,Massively Multiplayer,Strategy,,,
Casual,Indie,Sports,,,,
Action,Indie,,,,,
Action,Free to Play,Indie,Massively Multiplayer,,,
Action,Free to Play,Early Access,,,,
Action,Free to Play,Indie,,,,
Free to Play,Design & Illustration,,,,,
Casual,Free to Play,Indie,Simulation,Early Access,,
Action,Casual,Free to Play,,,,
Indie,Simulation,,,,,
Casual,Free to Play,Indie,,,,
Casual,Indie,RPG,Simulation,Strategy,,
Action,Casual,Indie,Early Access,,,
Adventure,Casual,Free to Play,Indie,,,
Sports,Strategy,,,,,
Action,Adventure,Free to Play,,,,
Action,Indie,,,,,
Action,Adventure,Casual,Indie,Simulation,Early Access,
,,,,,,
Action,Free to Play,Massively Multiplayer,Strategy,,,
Action,Adventure,Indie,RPG,Early Access,,
Action,Free to Play,Strategy,Early Access,,,
Action,Free to Play,Massively Multiplayer,,,,
