appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
49422,Eons of Evil Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49423,Heart of the Worlds Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49424,Weapons of the Warrior Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49425,Root of the Firemind Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49426,Master of Shadows Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49427,Teeth of the Predator Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49428,Hands of Flame Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49429,Wings of Light Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49430,Eyes of Shadow Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49431,Ears of the Elves Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49432,Claws of Vengeance Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,,Strategy,[]
49433,Scales of Fury Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49434,Thoughts of Wind Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49435,Mind of Void Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49436,Cries of Rage Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49437,Relics of Doom Foil Conversion,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
